Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,gopro_time,,POINT,1678624388.040,Not found,NA,NA,13:33:08
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,flippers,,START,1678624388.080,Not found,2,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,biting,,START,1678624390.000,Not found,50,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,flippers,,STOP,1678624390.000,Not found,50,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,biting,,STOP,1678624393.359,Not found,NA,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,flippers,,START,1678624393.360,Not found,134,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,flippers,,STOP,1678624397.880,Not found,247,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,locate food,,START,1678624397.880,Not found,247,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,locate food,,STOP,1678624402.639,Not found,NA,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,biting,,START,1678624402.640,Not found,366,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,biting,,STOP,1678624404.679,Not found,NA,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,flippers,,START,1678624404.680,Not found,417,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,flippers,,STOP,1678624407.120,Not found,478,NA,
